periode,temp_max,nbj_ac,nj_vdc,prec_cumul,p_d_s,prec_intense,nbj_prec,nom,insee,secheresses,secheresse
H1,16.29,51,16,1349.61,32,11.18,4.35,REZZA,2A259,2,2
H1,12.57,47,14,1220.68,29,9.79,4.67,PASTRICCIOLA,2A204,1,1
H1,12.64,46,13,1189.86,31,9.46,4.19,VIVARIO,2B354,2,2
H1,15.89,48,14,1043.75,33,8.21,3.95,GHISONI,2B124,2,2
H1,19.16,36,7,912.85,43,5.62,3.51,VEZZANI,2B347,2,2
H1,20.48,20,1,823.95,44,5.04,3.76,AGHIONE,2B002,2,2
H1,20.75,19,1,805.1,44,4.92,3.7,ALERIA,2B009,2,2
H1,15.21,80,31,669.49,28,5.34,3.87,LATOUR-DE-CAROL,66095,0,0
H1,13.18,76,26,697.5,26,5.5,4.17,NAHUJA,66120,0,0
H1,7.55,62,22,864.93,24,6.75,4.02,LLO,66100,1,1
H1,5.66,56,19,1147.39,24,7.82,4.05,FONTPEDROUSE,66080,1,1
H1,7.15,62,20,1078.3,24,7.6,4.06,MANTET,66102,1,1
H1,9.98,61,20,1540.15,22,11.24,4.23,PRATS-DE-MOLLO-LA-PRESTE,66150,1,1
H1,14.14,64,17,1342.76,22,9.71,4.21,PRATS-DE-MOLLO-LA-PRESTE,66150,1,1
H1,16.69,61,15,1161.17,23,8.42,4.4,SAINT-LAURENT-DE-CERDANS,66179,1,1
H1,15.79,57,14,1193.87,24,8.64,4.33,AMELIE-LES-BAINS-PALALDA,66003,1,1
H1,16.87,53,11,1098.14,24,7.86,4.15,MAUREILLAS-LAS-ILLAS,66106,1,1
H1,18.79,50,10,817.76,30,4.73,4.15,LE PERTHUS,66137,1,1
H1,17.9,34,4,869.12,34,4.71,3.87,BANYULS-SUR-MER,66016,2,2
H1,18.92,25,2,797.22,35,4.33,4.21,CERBERE,66048,2,2
H1,20.2,21,2,811.75,44,6.58,4.08,PIANA,2A212,2,2
H1,17.75,44,11,971.25,41,7.93,4.15,PIANA,2A212,2,2
H1,16.83,53,16,1186.04,35,9.71,4.52,MARIGNANA,2A154,2,2
H1,14.91,54,20,1263.92,33,10.46,4.17,LETIA,2A141,2,2
H1,11.34,46,12,1282.32,29,10.17,4.4,ORTO,2A196,1,1
H1,9.4,44,12,1371.11,29,10.86,4.4,VENACO,2B341,1,1
H1,14.71,47,14,1076.05,32,8.59,3.9,VENACO,2B341,2,2
H1,18.23,50,13,821.75,35,5.62,4.04,ROSPIGLIANI,2B263,2,2
H1,18.91,37,7,922.97,41,5.52,3.88,PIEDICORTE-DI-GAGGIO,2B218,2,2
H1,19.96,20,1,874.62,40,5.36,3.88,TALLONE,2B320,2,2
H1,20.33,17,1,843.66,42,5.31,3.79,LINGUIZZETTA,2B143,2,2
H1,11.89,76,27,961.71,23,7.66,4.2,AUZAT,09030,0,0
H1,6.51,60,18,1156.43,22,9.44,4.45,PORTA,66146,1,1
H1,5.58,57,19,1158.14,22,9.44,4.2,PORTA,66146,1,1
H1,7.4,65,23,924.19,22,7.49,3.98,PORTA,66146,0,0
H1,10.2,70,25,778.31,27,6.23,4.07,ENVEITG,66066,1,1
H1,11.75,73,26,759.04,26,6.17,4.17,TARGASONNE,66202,0,0
H1,10.68,71,25,768.07,25,6.25,4.46,SAINT-PIERRE-DELS-FORCATS,66188,0,0
H1,10.12,67,23,949.29,24,7.31,4.21,FONTPEDROUSE,66080,0,0
H1,9.97,67,22,951.0,23,7.31,4.25,NYER,66123,0,0
H1,10.53,67,22,992.25,25,7.04,4.63,PY,66155,1,1
H1,8.07,56,14,1654.42,22,11.97,4.48,CORSAVY,66060,1,1
H1,15.04,64,16,1269.55,23,9.22,4.33,CORSAVY,66060,1,1
H1,18.35,52,11,1015.44,24,7.36,4.15,REYNES,66160,1,1
H1,19.06,48,9,790.72,30,4.5,3.78,CERET,66049,2,2
H1,18.31,49,9,826.0,30,4.81,3.87,L'ALBERE,66001,1,1
H1,16.16,40,5,964.33,34,5.41,3.97,SOREDE,66196,2,2
H1,17.84,34,3,867.46,34,4.83,3.94,COLLIOURE,66053,2,2
H1,19.28,26,2,782.66,35,4.13,4.21,BANYULS-SUR-MER,66016,2,2
H1,20.55,20,3,787.75,43,6.22,4.33,OSANI,2A197,2,2
H1,19.55,30,5,856.76,42,6.8,4.3,PARTINELLO,2A203,2,2
H1,15.12,48,13,1141.77,32,9.04,4.13,EVISA,2A108,2,2
H1,11.43,45,12,1311.7,30,10.21,4.37,EVISA,2A108,2,2
H1,11.34,46,12,1281.82,30,10.18,4.42,ALBERTACCE,2B007,2,2
H1,11.99,47,13,1245.28,31,9.95,4.12,CORTE,2B096,2,2
H1,16.12,54,16,863.09,35,6.19,3.7,CASANOVA,2B074,2,2
H1,18.46,46,11,987.9,33,6.26,3.77,ERBAJOLO,2B105,2,2
H1,17.31,49,12,1054.12,33,6.6,3.9,AMPRIANI,2B015,2,2
H1,18.91,35,6,974.98,38,6.02,3.82,TOX,2B328,2,2
H1,20.32,17,1,841.06,40,5.17,3.79,CANALE-DI-VERDE,2B057,2,2
H1,10.73,72,24,990.02,23,7.92,4.23,AUZAT,09030,0,0
H1,8.49,66,21,1083.57,22,8.86,4.65,ASTON,09024,0,0
H1,6.77,61,20,1128.68,22,9.44,4.57,PORTA,66146,1,1
H1,8.03,67,22,929.5,22,7.84,4.43,PORTE-PUYMORENS,66147,0,0
H1,6.22,60,20,1019.52,20,8.09,4.35,ANGOUSTRINE-VILLENEUVE-DES-ESCALDES,66005,1,1
H1,7.59,67,21,948.88,21,7.89,4.44,ANGOUSTRINE-VILLENEUVE-DES-ESCALDES,66005,0,0
H1,10.21,75,25,872.35,21,7.01,4.45,MATEMALE,66105,0,0
H1,11.34,70,25,931.44,24,7.0,4.27,AYGUATEBIA-TALAU,66010,0,0
H1,14.88,66,20,824.82,25,5.95,4.13,JUJOLS,66090,1,1
H1,16.55,63,19,801.14,27,5.42,4.35,CORNEILLA-DE-CONFLENT,66057,1,1
H1,14.21,63,17,896.23,26,6.17,4.23,ESTOHER,66073,1,1
H1,15.56,54,11,1000.58,28,5.69,4.28,BOULE-D'AMONT,66022,1,1
H1,17.73,51,9,856.58,30,5.11,4.17,CALMEILLES,66032,1,1
H1,19.41,46,6,766.93,29,4.53,3.96,TORDERES,66211,1,1
H1,19.79,44,7,716.98,35,3.24,4.13,BANYULS-DELS-ASPRES,66015,2,2
H1,20.16,42,5,713.84,36,3.33,4.05,PALAU-DEL-VIDRE,66133,2,2
H1,19.37,26,2,769.53,36,4.09,4.13,ARGELES-SUR-MER,66008,2,2
H1,19.7,25,4,696.99,47,5.25,4.37,GALERIA,2B121,2,2
H1,18.05,33,6,778.87,45,5.84,4.31,GALERIA,2B121,2,2
H1,17.84,51,17,1012.96,32,8.05,4.13,MANSO,2B153,2,2
H1,11.32,45,12,1323.67,30,10.13,4.47,MANSO,2B153,2,2
H1,11.16,47,14,1285.04,29,10.32,4.53,LOZZI,2B147,1,1
H1,13.59,49,13,1141.62,31,9.25,4.21,CORSCIA,2B095,2,2
H1,17.43,55,18,819.52,36,5.85,3.86,TRALONCA,2B329,2,2
H1,15.16,49,12,1167.67,32,7.49,3.85,RUSIO,2B264,2,2
H1,14.4,45,11,1199.94,32,7.46,3.85,PIOBETTA,2B234,2,2
H1,17.76,42,9,1047.12,37,6.55,4.05,SANT'ANDREA-DI-COTONE,2B293,2,2
H1,20.32,18,1,849.33,38,5.22,3.88,CERVIONE,2B087,2,2
H1,5.91,59,18,1625.84,17,13.64,4.01,AUZAT,09030,0,0
H1,6.62,61,18,1147.08,21,9.52,4.22,LERCOUL,09162,1,1
H1,6.13,62,19,1647.21,17,13.89,4.08,ASTON,09024,0,0
H1,6.62,64,20,1615.87,17,13.64,3.85,ASTON,09024,0,0
H1,8.95,71,22,1486.14,17,12.61,4.32,MERENS-LES-VALS,09189,0,0
H1,7.23,66,22,1571.12,17,13.5,3.96,MERENS-LES-VALS,09189,0,0
H1,7.06,64,20,1577.47,17,13.61,4.01,FORMIGUERES,66082,0,0
H1,10.69,75,26,855.66,21,6.81,4.58,FONTRABIOUSE,66081,0,0
H1,7.87,66,21,1418.12,17,11.59,3.94,SANSA,66191,0,0
H1,12.51,65,19,880.43,24,6.47,4.08,URBANYA,66219,1,1
H1,17.17,61,17,724.75,26,5.23,4.05,CAMPOME,66034,1,1
H1,17.86,52,11,861.12,29,5.04,4.27,MARQUIXANES,66103,1,1
H1,18.16,49,9,846.15,28,5.0,4.08,BOULETERNERE,66023,1,1
H1,18.84,51,9,796.3,30,4.62,4.15,CAMELAS,66033,1,1
H1,19.55,43,6,708.94,36,3.33,4.08,THUIR,66210,2,2
H1,20.05,43,4,696.54,35,3.22,4.25,POLLESTRES,66144,2,2
H1,20.38,43,5,697.87,35,3.24,4.22,ALENYA,66002,2,2
H1,20.47,43,4,695.12,35,3.23,4.22,SAINT-CYPRIEN,66171,2,2
H1,19.38,27,4,699.38,45,5.23,4.32,GALERIA,2B121,2,2
H1,16.5,37,8,829.68,43,6.45,4.3,GALERIA,2B121,2,2
H1,11.75,43,10,1299.64,29,9.98,4.81,CALENZANA,2B049,1,1
