#-----------------------------------------------------------------------------
# Date d'extraction : 30/01/2026 - 17h28 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020_DISTRIBUTION
# Modele     : Q50
# Scenario :
#     RCP2.6 : Emissions maîtrisées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTXAV : Température maximale journalière (°C)
#     NORTXND : Nombre de jours anormalement chauds (jour(s))
#     NORTXHWD : Nombre de jours d'une vague de chaleur (jour(s))
#     NORRR : Cumul de précipitation (mm)
#     NORPXCDD : Période de sécheresse (jour(s))
#     NORPQ90 : précipitations intenses (Q90) (mm)
#     NORRR99 : nombre de jours de précipitations intenses (nombre de jours où on dépasse le Q99) (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORTXAV;NORTXND;NORTXHWD;NORRR;NORPXCDD;NORPQ90;NORRR99;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;RCP2.6;H1;21.12;25;3;711.95;45;5.46;4.3;
281;41.4149;9.0628;RCP2.6;H1;21.12;25;3;727;45;5.74;4.23;
282;41.4087;9.1577;RCP2.6;H1;20.63;27;4;754.1;45;5.91;4.21;
283;41.4025;9.2527;RCP2.6;H1;21.08;26;4;716.57;45;5.62;4.07;
422;41.4985;8.8808;RCP2.6;H1;20.98;28;5;751.1;49;5.89;4.32;
423;41.4925;8.9759;RCP2.6;H1;20.65;29;6;769.02;48;6.04;4.29;
424;41.4864;9.071;RCP2.6;H1;20.84;26;4;742.23;45;5.87;4.2;
425;41.4802;9.166;RCP2.6;H1;20.21;29;5;778.59;44;6.13;4.25;
426;41.4739;9.261;RCP2.6;H1;20.84;26;4;728.92;45;5.71;4.1;
564;41.5759;8.7935;RCP2.6;H1;20.41;19;2;771.83;42;6.3;4.29;
565;41.57;8.8888;RCP2.6;H1;19.83;22;3;809.18;41;6.63;4.21;
566;41.564;8.984;RCP2.6;H1;19.45;28;5;839.17;41;6.88;4.25;
567;41.5579;9.0791;RCP2.6;H1;17.86;48;14;1076.53;36;8.95;4.08;
568;41.5517;9.1743;RCP2.6;H1;20.1;30;5;785.11;43;6.19;4.23;
569;41.5454;9.2694;RCP2.6;H1;20.71;27;4;743.58;45;5.79;4.08;
707;41.6474;8.8014;RCP2.6;H1;20.45;19;2;780.04;44;6.45;4.07;
708;41.6415;8.8967;RCP2.6;H1;19.62;27;4;820.44;42;6.71;4.15;
709;41.6355;8.992;RCP2.6;H1;19.41;29;5;843.14;41;6.84;4.33;
710;41.6294;9.0873;RCP2.6;H1;18.15;46;13;1042.61;35;8.5;3.97;
711;41.6232;9.1826;RCP2.6;H1;18.06;46;14;1049.48;35;8.56;3.95;
712;41.6169;9.2779;RCP2.6;H1;20.63;24;3;835.3;41;6;3.76;
849;41.7248;8.7138;RCP2.6;H1;20.5;20;2;782.71;46;6.42;4.25;
850;41.719;8.8093;RCP2.6;H1;20.46;20;2;784.54;46;6.45;4.25;
851;41.713;8.9047;RCP2.6;H1;19.3;32;6;847.37;41;6.94;4.01;
852;41.707;9.0001;RCP2.6;H1;18.83;42;11;1013.64;36;8.5;3.93;
853;41.7009;9.0955;RCP2.6;H1;18.16;47;15;1043.64;34;8.34;4.12;
854;41.6946;9.1909;RCP2.6;H1;16.24;51;15;1144.28;32;9.39;4.17;
855;41.6884;9.2863;RCP2.6;H1;19;42;9;936.93;38;6.89;3.94;
856;41.682;9.3817;RCP2.6;H1;20.87;24;4;823.04;42;5.88;3.92;
992;41.7963;8.7216;RCP2.6;H1;20.34;20;2;792.49;46;6.52;4.25;
993;41.7905;8.8171;RCP2.6;H1;18.85;35;9;898.3;44;7.42;4.29;
994;41.7845;8.9127;RCP2.6;H1;19.64;36;8;972.65;37;8.09;4.27;
995;41.7785;9.0083;RCP2.6;H1;16.2;50;13;1179.54;36;9.89;4.25;
996;41.7724;9.1038;RCP2.6;H1;15.55;51;16;1373.7;30;11.43;4.33;
997;41.7661;9.1993;RCP2.6;H1;15.22;50;14;1374.03;29;11.29;4.21;
998;41.7598;9.2948;RCP2.6;H1;18.03;48;14;1194.03;32;9.86;4.2;
999;41.7535;9.3902;RCP2.6;H1;20.45;27;5;830.63;41;5.9;3.92;
1134;41.8737;8.6336;RCP2.6;H1;20.69;19;1;773.68;46;6.46;4.23;
1135;41.8679;8.7294;RCP2.6;H1;20.69;19;1;773.67;46;6.44;4.23;
1136;41.862;8.8251;RCP2.6;H1;19.45;30;5;858.23;45;7.14;4.27;
1137;41.856;8.9207;RCP2.6;H1;18.02;48;13;1078.22;36;9.12;4.2;
1138;41.85;9.0164;RCP2.6;H1;18.33;47;15;1052.97;35;8.8;4.04;
1139;41.8439;9.112;RCP2.6;H1;13.03;47;13;1511.72;30;12.32;4.06;
1140;41.8376;9.2077;RCP2.6;H1;11.18;44;11;1613.28;29;13.59;4.27;
1141;41.8313;9.3033;RCP2.6;H1;17.98;46;13;975.92;37;7.08;3.9;
1142;41.8249;9.3988;RCP2.6;H1;20.29;22;3;822.55;43;4.92;3.8;
1276;41.9509;8.5455;RCP2.6;H1;20.69;19;2;785.34;48;6.33;4.2;
1277;41.9452;8.6413;RCP2.6;H1;19.81;24;3;842.2;47;6.84;4.18;
1278;41.9394;8.7372;RCP2.6;H1;19.88;23;3;837.12;46;6.79;4.18;
1279;41.9335;8.833;RCP2.6;H1;19.99;23;3;827.12;44;6.66;4.38;
1280;41.9276;8.9288;RCP2.6;H1;18.13;42;11;933.97;42;7.62;4.44;
1281;41.9215;9.0246;RCP2.6;H1;14.96;52;17;1242.38;32;10.5;4.42;
1282;41.9154;9.1203;RCP2.6;H1;15.84;51;16;1353.99;31;11.14;4.58;
1283;41.9091;9.216;RCP2.6;H1;12.7;45;12;1187.51;30;9.64;4.18;
1284;41.9028;9.3118;RCP2.6;H1;18.28;41;8;979.3;43;5.95;3.88;
1285;41.8964;9.4075;RCP2.6;H1;20.62;20;2;819.11;44;4.87;3.77;
1420;42.0168;8.649;RCP2.6;H1;20.51;19;2;796.38;48;6.44;4.2;
1421;42.011;8.745;RCP2.6;H1;19.42;30;5;873.55;46;7.1;4.18;
1422;42.0051;8.8409;RCP2.6;H1;19.23;35;9;895.16;45;7.21;4.38;
1423;41.9991;8.9368;RCP2.6;H1;16.7;51;15;1167.83;35;9.71;4.23;
1424;41.993;9.0327;RCP2.6;H1;15.01;53;17;1235.95;33;10.34;4.21;
1425;41.9869;9.1286;RCP2.6;H1;11.93;45;11;1592.43;30;12.95;4.38;
1426;41.9806;9.2245;RCP2.6;H1;13.12;45;12;1180.16;31;9.48;4.33;
1427;41.9743;9.3203;RCP2.6;H1;18.63;39;7;961.42;43;5.78;3.73;
1428;41.9679;9.4161;RCP2.6;H1;20.67;20;2;814.42;44;4.83;3.67;
